access,bicycle,foot,footway,highway,junction,lanes,lit,maxspeed,name,oneway,service,sidewalk,smoothness,surface,tunnel,id,timestamp,version,tags,osm_type,geometry,length
,,,,tertiary,,,,,Corso Alessandria,yes,,,,asphalt,,23065998,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.637832164764404 45.11316680908203, 7.637834072113037 45.11289596557617), (7.637834072113037 45.11289596557617, 7.6378350257873535 45.112857818603516), (7.6378350257873535 45.112857818603516, 7.637826442718506 45.11277770996094))",43.0
,,,,tertiary,,3,,50,Strada di Altessano,yes,,,,asphalt,,23566607,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.645417213439941 45.11199951171875, 7.645326614379883 45.111881256103516), (7.645326614379883 45.111881256103516, 7.64531946182251 45.11176300048828), (7.64531946182251 45.11176300048828, 7.6452789306640625 45.11091232299805), (7.6452789306640625 45.11091232299805, 7.645267486572266 45.110694885253906), (7.645267486572266 45.110694885253906, 7.645236015319824 45.11001968383789), (7.645236015319824 45.11001968383789, 7.645205497741699 45.10947799682617), (7.645205497741699 45.10947799682617, 7.645187854766846 45.10915756225586), (7.645187854766846 45.10915756225586, 7.645185947418213 45.1091194152832), (7.645185947418213 45.1091194152832, 7.645182132720947 45.10905456542969), (7.645182132720947 45.10905456542969, 7.645153522491455 45.108821868896484), (7.645153522491455 45.108821868896484, 7.645151138305664 45.10878372192383), (7.645151138305664 45.10878372192383, 7.64512825012207 45.10822677612305), (7.64512825012207 45.10822677612305, 7.645126819610596 45.10818862915039), (7.645126819610596 45.10818862915039, 7.6451239585876465 45.108070373535156))",439.0
,,,,residential,,,,,Via Flora Pretegiani,,,,,,,25967116,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.640700817108154 45.11246871948242, 7.640699863433838 45.11249923706055), (7.640699863433838 45.11249923706055, 7.6406965255737305 45.11258316040039))",13.0
,,,,service,,,,,,yes,parking_aisle,,,,,25967122,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.645694255828857 45.11375427246094, 7.645694732666016 45.11371994018555), (7.645694732666016 45.11371994018555, 7.645707130432129 45.11358642578125), (7.645707130432129 45.11358642578125, 7.645708084106445 45.11345291137695), (7.645708084106445 45.11345291137695, 7.645709037780762 45.113319396972656), (7.645709037780762 45.113319396972656, 7.645710468292236 45.113189697265625), (7.645710468292236 45.113189697265625, 7.645712852478027 45.11304473876953), (7.645712852478027 45.11304473876953, 7.64570951461792 45.11296463012695), (7.64570951461792 45.11296463012695, 7.645709991455078 45.11294174194336), (7.645709991455078 45.11294174194336, 7.64570951461792 45.11290740966797), (7.64570951461792 45.11290740966797, 7.645688533782959 45.11284637451172), (7.645688533782959 45.11284637451172, 7.645621299743652 45.11280822753906), (7.645621299743652 45.11280822753906, 7.645509243011475 45.11280059814453), (7.645509243011475 45.11280059814453, 7.645358562469482 45.1128044128418), (7.645358562469482 45.1128044128418, 7.645228862762451 45.1128044128418))",139.0
,,,,unclassified,,,,,Via Druento,yes,,,,asphalt,,25967124,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.637826442718506 45.11277770996094, 7.637699604034424 45.11278533935547), (7.637699604034424 45.11278533935547, 7.6351237297058105 45.11298370361328), (7.6351237297058105 45.11298370361328, 7.634986400604248 45.11299133300781))",224.0
,,,,unclassified,,,,,Via Traves,,,,,asphalt,,38281805,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.629011631011963 45.107093811035156, 7.629029273986816 45.10722351074219))",14.0
,,,,unclassified,,3,yes,,Corso Grosseto,yes,,,,asphalt,,38281806,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.645910263061523 45.10649871826172, 7.645462512969971 45.10652160644531), (7.645462512969971 45.10652160644531, 7.645402431488037 45.10652542114258), (7.645402431488037 45.10652542114258, 7.645298480987549 45.10653305053711))",48.0
,,,,residential,,,yes,,Via delle Peonie,,,,,asphalt,,38281808,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.633171558380127 45.10614776611328, 7.633182525634766 45.10622024536133), (7.633182525634766 45.10622024536133, 7.633187294006348 45.10626220703125), (7.633187294006348 45.10626220703125, 7.633208751678467 45.10646438598633), (7.633208751678467 45.10646438598633, 7.633237838745117 45.10673522949219), (7.633237838745117 45.10673522949219, 7.633241176605225 45.10676574707031), (7.633241176605225 45.10676574707031, 7.633251190185547 45.10686111450195), (7.633251190185547 45.10686111450195, 7.633263111114502 45.10697937011719), (7.633263111114502 45.10697937011719, 7.633273601531982 45.10710525512695), (7.633273601531982 45.10710525512695, 7.63328742980957 45.10721969604492))",120.0
,,,,secondary,,,yes,,Corso Grosseto,yes,,,,asphalt,,38281809,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.644711017608643 45.1064338684082, 7.641890048980713 45.10660934448242), (7.641890048980713 45.10660934448242, 7.638758182525635 45.10679244995117), (7.638758182525635 45.10679244995117, 7.638711929321289 45.10679626464844), (7.638711929321289 45.10679626464844, 7.638607501983643 45.1068000793457))",481.0
,,,,unclassified,,3,yes,,Corso Grosseto,yes,,,,asphalt,,38281820,0,-1,"{""visible"":false}",way,"MULTILINESTRING ((7.645159721374512 45.106197357177734, 7.6453046798706055 45.1061897277832))",11.0
