Latitude,Longitude
-8.9207,117.2023
-8.897,116.8538
-8.894,116.8539
-8.8533,117.1271
-8.8522,117.1353
-8.7263,118.3097
-8.7251,118.3103
-8.7197,120.818
-8.7176,120.8176
-8.7078,117.4553
-8.7069,117.4591
-8.6973,121.1144
-8.6838,118.488
-8.6838,118.4887
-8.6469,118.8506
-8.6462,118.8558
-8.6444,118.8498
-8.6441,122.4045
-8.6438,118.8548
-8.6404,118.851
-8.6115,117.6603
-8.6101,118.8139
-8.6096,118.8179
-8.5968,122.8055
-8.59,118.5518
-8.5735,122.8307
-8.5705,122.8331
-8.5598,122.6165
-8.4996,117.2087
-8.4962,124.1727
-8.495,124.1712
-8.4804,121.1876
-8.4744,124.1668
-8.4725,117.6049
-8.4718,117.6038
-8.4718,117.6114
-8.471,117.6102
-8.4672,117.2999
-8.462,122.7099
-8.4619,118.255
-8.4611,117.2919
-8.4604,117.2982
-8.46,118.8604
-8.4573,118.8592
-8.451,118.2346
-8.4414,117.1607
-8.4109,117.981
-8.4021,120.8849
-8.3929,122.6504
-8.3887,117.8854
-8.3844,120.9331
-8.3839,120.9369
-8.3835,120.936
-8.3802,118.6489
-8.3742,120.882
-8.3624,120.9282
-8.3607,120.4082
-8.3598,120.4064
-8.3545,120.4107
-8.3536,120.4091
-8.3392,118.8245
-8.3283,124.0143
-8.2753,123.5054
-8.2611,124.9799
-8.256,128.1091
-8.2554,128.1131
-8.2432,128.1472
-8.233,125.0576
-8.2301,118.1516
-8.2256,118.1491
-8.225,118.154
-8.1967,127.8983
-8.1954,127.8572
-8.1829,122.7699
-8.1534,128.0221
-8.1502,128.0976
-8.1498,128.0216
-8.1494,128.0978
-8.1453,122.8396
-8.1437,122.841
-8.1089,117.8926
-8.105,117.8947
-7.8402,129.7611
-7.6824,131.0078
-7.6812,130.9934
-7.5949,127.4506
-6.9142,134.1975
-5.8202,132.7807
-5.6746,132.6937
-5.6739,132.6976
-5.5251,122.5835
-5.4511,122.7702
-5.4499,122.744
-5.4493,122.7674
-5.2097,123.098
-5.1912,122.9978
-5.1905,123.0028
-4.1257,131.3429
-10.3547,123.7921
-10.3506,123.6979
-10.3262,123.7743
-10.2721,123.97
-10.1854,124.064
-10.1847,120.6051
-10.1845,123.8927
-10.1788,120.6049
-10.1541,124.0167
-10.1283,124.2846
-10.0873,124.4922
-10.0817,124.5003
-10.061,124.4499
-10.0579,124.4515
-10.056,124.4534
-10.0534,124.4511
-10.0529,124.4551
-10.0134,120.172
-10.0084,120.7939
-10.0074,120.7903
-10.0069,124.5269
-10.0039,124.4811
-10.0006,120.127
-9.9965,120.2116
-9.9638,120.6728
-9.9523,123.585
-9.9512,123.5831
-9.9505,123.5884
-9.9394,124.5243
-9.9318,124.522
-9.9178,124.4242
-9.9157,119.8469
-9.915,119.8443
-9.9117,123.9115
-9.8615,120.4476
-9.8472,123.7364
-9.835,124.3077
-9.8223,124.4349
-9.816,124.0681
-9.8004,119.7632
-9.7901,119.9913
-9.79,124.5405
-9.7896,119.9956
-9.7867,124.5312
-9.7836,124.3501
-9.7712,124.6136
-9.7693,124.5605
-9.7597,124.7979
-9.7591,124.8021
-9.7514,124.5256
-9.7493,124.8093
-9.7401,124.8122
-9.7367,119.1671
-9.7282,124.0965
-9.7097,123.7469
-9.7049,123.7471
-9.7,124.1706
-9.6715,120.2151
-9.6573,124.302
-9.6537,124.8193
-9.6437,124.4336
-9.6423,124.4359
-9.6344,124.5005
-9.6341,124.4986
-9.596,124.7549
-9.595,124.7518
-9.5777,124.7171
-9.5771,124.7212
-9.5627,124.3614
-9.5466,124.8788
-9.5458,124.6566
-9.545,124.3697
-9.543,124.3726
-9.5411,124.5921
-9.5365,124.5254
-9.5333,124.6168
-9.5326,124.5206
-9.5322,124.625
-9.5289,124.6162
-9.5201,124.3198
-9.507,124.8139
-9.5048,124.7974
-9.5044,124.3344
-9.5004,124.7974
-9.4879,124.8914
-9.4727,124.0808
-9.4726,124.4695
-9.4697,124.005
-9.469,124.0061
-9.4685,124.399
-9.4623,124.4112
-9.4617,124.4155
-9.4616,124.584
-9.4612,124.4198
-9.4578,124.5125
-9.4572,124.517
-9.4565,124.3525
-9.4524,124.8772
-9.449,124.4094
-9.4475,124.3863
-9.4375,123.9987
-9.4371,124.4651
-9.4369,124.0029
