Jumlah,Latitude,Longitude
1,-3.24058,104.73914
1,-3.11821,104.98429
1,-3.10492,104.96371
1,-3.09996,104.81673
1,-3.04006,104.71889
1,-3.03953,104.72237
1,-3.00117,104.59514
1,-2.85261,104.56854
1,-3.14593,104.72673
1,-3.1431,104.72769
1,-3.14228,104.72212
1,-3.07698,104.58476
1,-3.07649,104.58805
1,-3.07588,104.58472
1,-3.07541,104.58802
1,-2.85988,104.78316
1,-2.85466,104.78238
1,-3.19324,104.85708
1,-3.17685,104.65414
1,-3.14305,104.78506
1,-3.04851,104.71278
1,-3.20333,104.83955
1,-3.18121,104.65098
1,-3.17837,104.65524
1,-3.17778,104.65152
1,-3.17719,104.64779
1,-3.08399,104.5007
1,-3.0564,104.70487
1,-2.82444,104.61369
1,-3.21831,104.83628
1,-3.18191,104.65353
1,-3.17807,104.64816
1,-3.1735,104.64748
1,-3.17276,104.65213
1,-3.12796,104.96364
1,-3.10925,104.96072
1,-3.07536,104.73466
1,-3.05998,104.53625
1,-3.05608,104.70743
1,-3.04502,105.0013
1,-3.04421,105.00624
1,-3.04282,105.00262
1,-3.04204,105.00758
1,-2.98409,104.65765
1,-2.86779,104.68182
1,-2.86741,104.68043
1,-2.82696,104.61272
1,-3.17966,104.65402
1,-3.1789,104.64944
1,-3.17829,104.6525
1,-3.17813,104.64487
1,-3.17756,104.6479
1,-3.17751,104.79261
1,-3.17683,104.6433
1,-3.17359,104.64559
1,-3.17302,104.64864
1,-3.17229,104.64404
1,-3.06066,104.53362
1,-3.05519,104.7034
1,-2.82449,104.61242
1,-3.23162,104.83566
1,-3.23144,104.70737
1,-3.22586,104.82698
1,-3.20612,104.66498
1,-3.19687,104.74855
1,-3.18314,104.6538
1,-3.18198,104.66132
1,-3.18027,104.64951
1,-3.17969,104.65327
1,-3.1774,104.64524
1,-3.17683,104.64899
1,-3.17624,104.65276
1,-3.17396,104.64471
1,-3.17338,104.64848
1,-3.1728,104.65224
1,-3.17199,104.79528
