latitude,longitude
-3.43211,104.68408
-3.40925,104.87936
-3.40539,104.88234
-3.38891,104.90121
-3.36323,104.86887
-3.3623,104.89721
-3.36177,104.9007
-3.35845,104.9002
-3.35086,105.01682
-3.34753,105.01633
-3.34699,105.01981
-3.34646,105.02331
-3.3454,104.85196
-3.34366,105.01932
-3.34312,105.02281
-3.34086,105.01532
-3.34033,105.01881
-3.33979,105.02232
-3.32669,104.95531
-3.32336,104.95481
-3.31797,104.90051
-3.31586,104.91444
-3.31575,104.82544
-3.31522,104.82892
-3.31359,104.90697
-3.31306,104.91046
-3.31268,104.71143
-3.31253,104.91395
-3.312,104.91743
-3.31026,104.90647
-3.30731,104.65749
-3.30451,104.65354
-3.30346,104.66045
-3.30172,104.64957
-3.3012,104.65304
-3.30119,105.03368
-3.30035,104.99421
-3.29104,105.01068
-3.29051,105.01418
-3.28997,105.01768
-3.28756,104.9887
-3.28423,104.9882
-3.28369,104.9917
-3.28364,104.90247
-3.28234,104.95577
-3.24058,104.73914
-3.23544,104.99516
-3.23211,104.99466
-3.23158,104.99815
-3.15168,105.10046
-3.14834,105.09996
-3.14446,105.10297
-3.11821,104.98429
-3.11225,105.1125
-3.10978,105.17334
-3.10492,104.96371
-3.09996,104.81673
-3.09974,105.17183
-3.04093,105.02569
-3.04006,104.71889
-3.03953,104.72237
-3.02545,104.45745
-3.02441,104.46435
-3.02266,104.45351
-3.02214,104.45695
-3.02109,104.46386
-3.01987,104.44956
-3.01778,104.46336
-3.00117,104.59514
-2.96546,105.09962
-2.95891,105.12024
-2.95088,105.08303
-2.94928,105.09359
-2.947,105.08604
-2.85261,104.56854
-2.84521,104.34806
-3.35785,105.00731
-3.34899,104.54316
-3.34876,104.54296
-3.34769,104.53658
-3.34553,105.01559
-3.34451,105.0097
-3.33885,105.01676
-3.33784,105.01088
-3.32658,104.94577
-3.28905,105.00739
-3.2849,104.98376
-3.28211,104.98659
-3.2811,104.98065
-3.27967,104.95404
-3.27925,104.99084
-3.2782,104.98492
-3.14593,104.72673
-3.35903,105.01138
-3.34969,105.01662
-3.34792,104.54131
-3.34652,105.0192
-3.34563,105.01329
-3.34384,105.02351
-3.34299,105.0176
-3.34215,105.0117
-3.33982,105.02017
-3.33894,105.01427
-3.33806,105.00841
-3.3363,105.01861
-3.33546,105.01271
-3.32844,104.94409
-3.32627,104.94819
-3.31244,105.06645
-3.29035,105.00933
-3.28691,104.98586
-3.28024,104.98686
-3.1431,104.72769
-3.14228,104.72212
-3.12216,104.45161
-3.11747,105.08877
-3.11422,105.0902
-3.41727,104.75651
-3.41344,104.75596
-3.34849,105.01633
-3.34679,105.018
-3.34595,105.0125
-3.34439,105.02257
-3.34358,105.01706
-3.34278,105.01156
-3.34188,105.01872
-3.34104,105.01324
-3.33867,105.0178
-3.33787,105.0123
-3.33706,105.00681
-3.33613,105.01396
-3.33528,105.00849
-3.3283,104.94669
-3.32751,104.94126
-3.3269,104.95391
-3.32679,104.92071
-3.32607,104.94849
-3.32523,104.94305
-3.32513,104.92497
-3.32434,104.91957
-3.3242,104.95284
-3.32341,104.94741
-3.32191,104.92141
-3.32088,104.96444
-3.31946,104.92028
-3.31878,104.96619
-3.31599,104.96517
-3.29431,104.96986
-3.29193,105.02052
-3.28209,104.98839
-3.28127,104.98294
-3.20961,105.05585
-3.39655,104.88861
-3.39609,104.89179
-3.39493,104.75098
-3.39447,104.75419
-3.39228,104.69401
-3.39181,104.69728
-3.38965,104.75024
-3.38791,104.68674
-3.38744,104.68999
-3.37359,104.86262
-3.35738,104.86239
-3.34816,104.89136
-3.34789,104.89014
-3.34076,105.01825
-3.32972,104.94662
-3.32903,104.94529
-3.32857,104.94843
-3.32383,104.94457
-3.3162,104.92426
-3.31099,104.92352
-3.29325,104.97208
-3.29279,104.97521
-3.29115,105.02246
-3.28578,104.98692
-3.24861,104.9879
-3.24817,104.99099
-3.2421,104.99644
-3.22546,104.9272
-3.22457,104.92507
-3.2241,104.9282
-3.10323,105.17973
-3.07698,104.58476
-3.07649,104.58805
-3.07588,104.58472
-3.07541,104.58802
-3.03215,105.0383
-2.95272,105.09752
-2.94451,105.11787
-2.94204,105.09908
-2.94028,105.11111
-2.93984,105.11412
-2.93869,105.08627
-2.93825,105.08929
-2.88948,105.17403
-2.88482,105.17033
-2.88136,105.17129
-2.87973,105.1696
-2.85988,104.78316
-2.85466,104.78238
-2.75291,104.96098
-3.35506,105.01378
-3.35011,104.83816
-3.34784,105.01487
-3.3455,105.02371
-3.34487,105.01957
-3.34424,105.01542
-3.34361,105.01128
-3.34126,105.02012
-3.34063,105.01598
-3.33417,104.94936
-3.33354,104.94525
-3.3312,104.95403
-3.33058,104.94991
-3.32995,104.9458
-3.32932,104.94169
-3.32761,104.95457
-3.32698,104.95046
-3.32636,104.94636
-3.32573,104.94223
-3.32512,105.03532
-3.32401,104.95512
-3.32339,104.951
-3.32323,104.9258
-3.32276,104.94688
-3.32261,104.92171
-3.32214,104.94278
-3.31902,104.92225
-3.30604,104.92335
-3.29013,105.00996
-3.28693,104.98933
-3.28628,104.9852
-3.28397,104.994
-3.28333,104.98987
-3.28269,104.98575
-3.28205,104.98163
-3.24153,105.10235
-3.21735,105.04934
-3.2159,105.05516
-3.21527,105.051
-3.21505,105.05818
-3.2144,105.05402
-3.21375,105.04989
-3.21292,105.05985
-3.21229,105.05571
-3.21167,105.05155
-3.21079,105.05457
-3.21014,105.05043
-3.19324,104.85708
-3.17685,104.65414
-3.14305,104.78506
-3.04851,104.71278
-2.88576,104.31052
-3.20333,104.83955
-2.93089,105.11465
-3.27794,105.08886
-3.27725,105.08784
-3.40433,104.88459
-3.40093,104.88513
-3.40034,104.88148
-3.35458,105.01547
-3.35119,105.01601
-3.35062,105.01238
-3.34781,105.01654
-3.34723,105.01292
-3.345,105.0207
-3.34442,105.01707
-3.34385,105.01346
-3.34161,105.02122
-3.34104,105.01761
-3.34046,105.01398
-3.33765,105.01814
-3.33707,105.01452
-3.3365,105.0109
-3.33592,105.00727
-3.33066,104.95228
-3.33008,104.94864
-3.32951,104.945
-3.328,105.00109
-3.32727,104.95281
-3.32669,104.94917
-3.32611,104.94553
-3.32553,104.94189
-3.32322,104.92732
-3.31982,104.92785
-3.31941,104.96896
-3.31774,104.82697
-3.3166,104.97314
-3.31602,104.96951
-3.30032,105.00174
-3.29897,104.94981
-3.29858,104.99086
-3.29635,104.99865
-3.29568,104.97271
-3.29509,104.96906
-3.29306,105.02145
-3.29228,104.97323
-3.2919,105.01421
-3.29132,105.01059
-3.28968,105.02199
-3.2855,104.9743
-3.28386,104.98573
-3.28328,104.98209
-3.28047,104.98627
-3.27989,104.98263
-3.24673,104.97634
-3.21702,105.0517
-3.21421,105.05585
-3.21363,105.05224
-3.21306,105.04861
-3.21083,105.05639
-3.21025,105.05277
-3.20967,105.04915
