Jumlah,Latitude,Longitude
1,-4.61524,104.30829
1,-4.55305,104.24959
1,-4.55253,104.25304
1,-4.51552,104.11616
1,-4.42154,104.26784
1,-4.36635,104.1604
1,-4.35802,104.21558
1,-4.34095,104.21655
1,-4.32757,104.26036
1,-4.32426,104.25986
1,-4.22309,104.74824
1,-4.20591,104.16628
1,-4.01385,104.38331
1,-4.00917,104.54828
1,-4.009,104.52708
1,-3.95393,104.53291
1,-3.95062,104.53242
1,-3.92235,104.5383
1,-3.91956,104.53436
1,-3.91904,104.5378
1,-3.91312,104.6216
1,-3.90973,105.62142
1,-3.90595,105.87133
1,-3.88673,105.1974
1,-3.88377,105.2616
1,-3.88043,105.2611
1,-3.87816,105.25357
1,-3.85873,104.57812
1,-3.85647,104.57073
1,-3.85005,105.8963
1,-3.82665,105.56807
1,-3.82369,105.23425
1,-3.82328,105.56756
1,-3.82089,105.23023
1,-3.81421,105.22922
1,-3.80199,105.75146
1,-3.79926,105.58949
1,-3.79861,105.75095
1,-3.79296,105.74271
1,-3.7924,105.74632
1,-3.79078,103.81592
1,-3.79013,105.7386
1,-3.78958,105.7422
1,-3.78694,103.81887
1,-3.78537,104.70407
1,-3.77701,105.54208
1,-3.77365,105.54158
1,-3.77352,104.60336
1,-3.77091,105.44656
1,-3.77021,104.60286
1,-3.76318,105.77882
1,-3.76262,105.78242
1,-3.76096,104.61912
1,-3.76095,105.79325
1,-3.76035,105.7747
1,-3.74967,105.56351
1,-3.74912,105.56708
1,-3.74484,105.37016
1,-3.7443,105.37369
1,-3.74322,105.38076
1,-3.74203,105.36611
1,-3.74149,105.36965
1,-3.7349,103.73682
1,-3.73196,104.72082
1,-3.72755,105.37116
1,-3.72606,103.63856
1,-3.72475,105.36712
1,-3.72429,105.82093
1,-3.72327,103.6346
1,-3.72312,105.51206
1,-3.72274,103.63807
1,-3.72258,105.51562
1,-3.7214,105.36662
1,-3.71967,105.35551
1,-3.71913,105.35904
1,-3.71859,105.36257
1,-3.71823,105.40958
1,-3.71805,105.36611
1,-3.71703,105.52937
1,-3.71696,105.37318
1,-3.7166,105.4202
1,-3.71578,105.35854
1,-3.71485,105.54363
1,-3.69651,105.38028
1,-3.6956,104.60178
1,-3.69544,105.29703
1,-3.69418,103.84956
1,-3.6924,105.53293
1,-3.69023,105.74914
1,-3.69005,105.68277
1,-3.68968,105.75275
1,-3.68959,105.52884
1,-3.68218,104.57857
1,-3.68217,104.71287
1,-3.67653,105.39898
1,-3.65931,105.79255
1,-3.65592,105.79205
1,-3.65186,105.38081
1,-3.64937,104.68317
1,-3.64851,105.38029
1,-3.64516,105.37979
1,-3.64462,105.38333
1,-3.63989,103.76018
1,-3.63015,105.27635
1,-3.62302,105.30053
1,-3.62259,105.731
1,-3.62248,105.30405
1,-3.62204,105.7346
1,-3.62149,105.73822
1,-3.61968,105.30003
1,-3.61921,105.73049
1,-3.61866,105.73409
1,-3.61795,105.28894
